,Missing States
0,Alabama
1,Arizona
2,Arkansas
3,Colorado
4,Connecticut
5,Georgia
6,Idaho
7,Illinois
8,Indiana
9,Iowa
10,Kansas
11,Louisiana
12,Maine
13,Maryland
14,Massachusetts
15,Michigan
16,Missouri
17,Montana
18,Nebraska
19,New York
20,North Dakota
21,Oklahoma
22,Oregon
23,Pennsylvania
24,Rhode Island
25,South Carolina
26,South Dakota
27,Tennessee
28,Vermont
29,Virginia
30,Washington
31,West Virginia
32,Wisconsin
33,Wyoming
